,Rank,Country Code,Country/Territory,Capital,Continent,2023 Population,2022 Population,2021 Population,2020 Population,2015 Population,2010 Population,2000 Population,Area (km²),Density (per km²),Growth Rate (2023),World Population Percentage (2023)
187,113,SGP,Singapore,Singapore,Asia,"6,007,000",5975689,"5,925,135",5909869,5650018,5163590,4053602,710,8416.4634,0.65%,0.08%
188,214,SXM,Sint Maarten,Philipsburg,North America,"44,222",44175,"43,412",43621,40205,33034,30489,34,1299.2647,0.11%,0%
189,116,SVK,Slovakia,Bratislava,Europe,"5,816,436",5643453,"5,460,937",5456681,5424444,5396424,5376690,49037,115.0856,2.69%,0.07%
190,148,SVN,Slovenia,Ljubljana,Europe,"2,119,675",2119844,"2,078,724",2117641,2080862,2057286,1984339,20273,104.5649,-0.01%,0.03%
191,166,SLB,Solomon Islands,Honiara,Oceania,"737,206",724273,"714,126",691191,612660,540394,429978,28896,25.0648,2.23%,0.01%
192,70,SOM,Somalia,Mogadishu,Africa,"18,030,114",17597511,"16,634,297",16537016,13763906,12026649,8721465,637657,27.5971,3.1%,0.23%
193,24,ZAF,South Africa,Pretoria,Africa,"60,303,161",59893885,"60,474,550",58801927,55876504,51784921,46813266,1221037,49.0517,0.87%,0.75%
194,29,KOR,South Korea,Seoul,Asia,"51,791,782",51815810,"51,331,264",51844690,50994401,48813042,46788591,100210,517.0722,-0.06%,0.65%
195,86,SSD,South Sudan,Juba,Africa,"11,051,470",10913164,"11,493,450",10606227,11194299,9714419,6114440,619745,17.6091,1.61%,0.14%
196,30,ESP,Spain,Madrid,Europe,"47,528,638",47558630,"46,736,811",47363807,46431342,46572772,40741651,505992,93.9909,-0.08%,0.59%
197,61,LKA,Sri Lanka,Colombo,Asia,"21,881,995",21832143,"21,547,096",21715079,21336697,20668557,18776371,65610,332.7563,0.28%,0.27%
198,32,SDN,Sudan,Khartoum,Africa,"47,855,448",46874204,"45,532,863",44440486,38171178,33739933,26298773,1886068,24.8529,2.63%,0.6%
199,170,SUR,Suriname,Paramaribo,South America,"621,949",618040,"594,817",607065,575475,546080,478998,163820,3.7727,0.84%,0.01%
200,87,SWE,Sweden,Stockholm,Europe,"10,599,215",10549347,"10,196,161",10368969,9849349,9381729,8871043,450295,23.4276,0.59%,0.13%
201,101,CHE,Switzerland,Bern,Europe,"8,785,085",8740472,"8,752,564",8638613,8281732,7822435,7182059,41284,211.7157,0.64%,0.11%
202,60,SYR,Syria,Damascus,Asia,"22,995,980",22125249,"18,646,187",20772595,19205178,22337563,16307654,185180,119.4797,4.98%,0.29%
203,57,TWN,Taiwan,Taipei,Asia,"23,917,484",23893394,"23,877,855",23821464,23512136,23083083,22194731,36193,660.1662,0.13%,0.3%
204,95,TJK,Tajikistan,Dushanbe,Asia,"10,104,930",9952787,"9,873,338",9543207,8524063,7621779,6272998,143100,69.5513,1.92%,0.13%
205,22,TZA,Tanzania,Dodoma,Africa,"67,037,819",65497748,"62,539,416",61704518,52542823,45110527,34463704,945087,69.3034,2.96%,0.84%
206,20,THA,Thailand,Bangkok,Asia,"71,781,973",71697030,"70,039,646",71475664,70294397,68270489,63066603,513120,139.7276,0.15%,0.9%
207,155,TLS,Timor-Leste,Dili,Asia,,1341296,,1299995,1205813,1088486,878360,14874,90.1772,,
208,100,TGO,Togo,Lomé,Africa,"9,011,968",8848699,"8,596,357",8442580,7473229,6571855,5008035,56785,155.8281,2.32%,0.11%
209,233,TKL,Tokelau,Nukunonu,Oceania,"1,893",1871,"1,373",1827,1454,1367,1666,12,155.9167,1.18%,TKL
210,197,TON,Tonga,Nuku‘alofa,Oceania,"107,773",106858,"107,407",105254,106122,107383,102603,747,143.0495,0.86%,0%
211,153,TTO,Trinidad and Tobago,Port-of-Spain,North America,,1531044,,1518147,1460177,1410296,1332203,5130,298.4491,,
212,79,TUN,Tunisia,Tunis,Africa,"12,435,699",12356117,"12,003,225",12161723,11557779,10895063,9893316,163610,75.5218,0.83%,0.16%
213,18,TUR,Turkey,Ankara,Asia,"85,724,172",85341241,"85,484,777",84135428,79646178,73195345,64113547,783562,108.9145,0.56%,1.07%
214,111,TKM,Turkmenistan,Ashgabat,Asia,"6,499,368",6430770,"6,168,788",6250438,5766431,5267970,4569132,488100,13.1751,1.33%,0.08%
215,212,TCA,Turks and Caicos Islands,Cockburn Town,North America,,45703,,44276,36538,29726,18744,948,48.2099,,
216,227,TUV,Tuvalu,Funafuti,Oceania,"11,396",11312,"11,931",11069,10877,10550,9638,26,435.0769,0.74%,0%
217,31,UGA,Uganda,Kampala,Africa,"48,310,113",47249585,"47,942,521",44404611,37477356,32341728,24020697,241550,195.61,2.82%,0.61%
218,38,UKR,Ukraine,Kiev,Europe,"36,469,195",39701739,"43,312,073",43909666,44982564,45683020,48879755,603500,65.7858,-7.45%,0.46%
219,97,ARE,United Arab Emirates,Abu Dhabi,Asia,"9,501,426",9441129,"10,051,436",9287289,8916899,8481771,3275333,83600,112.9322,0.8%,0.12%
220,21,GBR,United Kingdom,London,Europe,"67,690,467",67508936,"68,401,087",67059474,65224364,62760039,58850043,242900,277.9289,0.34%,0.85%
221,3,USA,United States,"Washington, D.C.",North America,"339,622,662",338289857,"334,058,426",335942003,324607776,311182845,282398554,9372610,36.0935,0.5%,4.25%
222,200,VIR,United States Virgin Islands,Charlotte Amalie,North America,"98,750",99465,"104,010",100442,102803,106142,108185,347,286.6427,-0.72%,0%
223,133,URY,Uruguay,Montevideo,South America,"3,423,108",3422794,"3,491,832",3429086,3402818,3352651,3292224,181034,18.9069,0.01%,0.04%
224,43,UZB,Uzbekistan,Tashkent,Asia,"35,057,115",34627652,"34,207,969",33526656,30949417,28614227,24925554,447400,77.3975,1.55%,0.44%
225,181,VUT,Vanuatu,Port-Vila,Oceania,"333,219",326740,"318,774",311685,276438,245453,192074,12189,26.8061,2.38%,0%
226,234,VAT,Vatican City,Vatican City,Europe,518,510,800,520,564,596,651,1,510.0,1.57%,VAT
227,51,VEN,Venezuela,Caracas,South America,"28,723,304",28301696,"28,842,889",28490453,30529716,28715022,24427729,916445,30.882,1.9%,0.36%
228,16,VNM,Vietnam,Hanoi,Asia,"98,725,092",98186856,"98,655,916",96648685,92191398,87411012,79001142,331212,296.4472,0.68%,1.23%
229,226,WLF,Wallis and Futuna,Mata-Utu,Oceania,,11572,,11655,12182,13142,14723,142,81.493,,
230,172,ESH,Western Sahara,El Aaiún,Africa,"584,685",575986,"620,280",556048,491824,413296,270375,266000,2.1654,1.96%,0.01%
231,46,YEM,Yemen,Sanaa,Asia,"34,295,374",33696614,"30,882,462",32284046,28516545,24743946,18628700,527968,63.8232,2.24%,0.43%
232,63,ZMB,Zambia,Lusaka,Africa,"20,455,185",20017675,"19,238,117",18927715,16248230,13792086,9891136,752612,26.5976,2.76%,0.26%
233,74,ZWE,Zimbabwe,Harare,Africa,"16,593,332",16320537,"15,229,891",15669666,14154937,12839771,11834676,390757,41.7665,2.11%,0.21%
