,Rank,Country Code,Country/Territory,Capital,Continent,2023 Population,2022 Population,2021 Population,2020 Population,2015 Population,2010 Population,2000 Population,Area (km²),Density (per km²),Growth Rate (2023),World Population Percentage (2023)
23,165,BTN,Bhutan,Thimphu,Asia,"786,137",782455,"784,855",772506,743274,705516,587207,38394,20.3796,0.64%,0.01%
24,80,BOL,Bolivia,Sucre,South America,"12,351,889",12224110,"11,927,124",11936162,11090085,10223270,8592656,1098581,11.1272,1.35%,0.15%
25,137,BIH,Bosnia and Herzegovina,Sarajevo,Europe,,3233526,,3318407,3524324,3811088,4179350,51209,63.1437,,
26,144,BWA,Botswana,Gaborone,Africa,"2,666,342",2630296,"2,423,535",2546402,2305171,2091664,1726985,582000,4.5194,1.71%,0.03%
27,7,BRA,Brazil,Brasilia,South America,"216,169,532",215313498,"214,832,901",213196304,205188205,196353492,175873720,8515767,25.2841,0.52%,2.7%
28,221,VGB,British Virgin Islands,Road Town,North America,,31305,,30910,29366,27556,20104,151,207.3179,,
29,175,BRN,Brunei,Bandar Seri Begawan,Asia,"451,880",449002,"443,903",441725,421437,396053,333926,5765,77.8841,0.78%,0.01%
30,108,BGR,Bulgaria,Sofia,Europe,"6,705,093",6781953,"6,866,274",6979175,7309253,7592273,8097691,110879,61.1654,-1.39%,0.08%
31,58,BFA,Burkina Faso,Ouagadougou,Africa,"23,132,429",22673762,"21,847,968",21522626,18718019,16116845,11882888,272967,83.0641,2.55%,0.29%
32,78,BDI,Burundi,Bujumbura,Africa,"13,167,125",12889576,"12,469,663",12220227,10727148,9126605,6307659,27834,463.0874,2.71%,0.17%
33,73,KHM,Cambodia,Phnom Penh,Asia,"16,908,144",16767842,"17,080,063",16396860,15417523,14363532,12118841,181035,92.6221,1.06%,0.21%
34,53,CMR,Cameroon,Yaounde,Africa,"28,496,059",27914536,"27,624,492",26491087,23012646,19878036,15091594,475442,58.7128,2.63%,0.36%
35,39,CAN,Canada,Ottawa,North America,"38,714,362",38454327,"38,261,228",37888705,35732126,33963412,30683313,9984670,3.8513,0.85%,0.48%
36,171,CPV,Cape Verde,Praia,Africa,"597,395",593149,"565,346",582640,552166,521212,458251,4033,147.0739,0.93%,0.01%
37,205,CYM,Cayman Islands,George Town,North America,"69,310",68706,"66,497",67311,60911,54074,39658,264,260.25,0.88%,0%
38,117,CAF,Central African Republic,Bangui,Africa,"5,708,207",5579144,"4,971,922",5343020,4819333,4660067,3759170,622984,8.9555,2.92%,0.07%
39,69,TCD,Chad,N'Djamena,Africa,"18,164,016",17723315,"17,203,787",16644701,14140274,11894727,8259137,1284000,13.8032,3.13%,0.23%
40,65,CHL,Chile,Santiago,South America,"19,623,798",19603733,"19,275,294",19300315,17870124,17004162,15351799,756102,25.9274,0.13%,0.25%
41,1,CHN,China,Beijing,Asia,"1,425,744,073",1425887337,"1,447,065,329",1424929781,1393715448,1348191368,1264099069,9706961,146.8933,-0.02%,17.81%
42,28,COL,Colombia,Bogota,South America,"52,033,684",51874024,"51,504,213",50930662,47119728,44816108,39215135,1141748,45.4339,0.41%,0.65%
43,163,COM,Comoros,Moroni,Africa,"848,857",836774,"899,658",806166,730216,656024,536758,1862,449.3953,1.83%,0.01%
44,223,COK,Cook Islands,Avarua,Oceania,"17,044",17011,"17,565",17029,17695,17212,15897,236,72.0805,0.19%,0%
45,124,CRI,Costa Rica,San José,North America,"5,205,094",5180829,"5,165,346",5123105,4895242,4622252,3979193,51100,101.3861,0.6%,0.07%
46,130,HRV,Croatia,Zagreb,Europe,"4,013,122",4030358,"4,067,642",4096868,4254815,4368682,4548434,56594,71.2153,-0.54%,0.05%
47,85,CUB,Cuba,Havana,North America,"11,198,310",11212191,"11,312,548",11300698,11339894,11290417,11105791,109884,102.0366,-0.16%,0.14%
48,189,CUW,Curacao,Willemstad,North America,"192,077",191163,"165,229",189288,169572,159380,141424,444,430.5473,0.48%,0%
49,158,CYP,Cyprus,Nicosia,Europe,"1,258,207",1251488,"1,220,541",1237537,1187280,1129686,948237,9251,135.2814,0.69%,0.02%
50,88,CZE,Czech Republic,Prague,Europe,"10,493,364",10493986,"10,732,960",10530953,10523798,10464749,10234710,78865,133.0627,0.01%,0.13%
51,115,DNK,Denmark,Copenhagen,Europe,"5,905,121",5882261,"5,825,798",5825641,5677796,5550849,5340655,43094,136.4984,0.49%,0.07%
52,160,DJI,Djibouti,Djibouti,Africa,"1,133,237",1120849,"1,010,377",1090156,1006259,919199,742033,23200,48.3125,1.39%,0.01%
