Rank,Country/Territory,2023 Population,2022 Population,2021 Population,2020 Population,2015 Population,2010 Population,2000 Population,Growth Rate (2023)
207,Guernsey,0,63301,0,62794,61629,60782,59114,0
75,Guinea,14122396,13859341,13709966,13205153,11625998,10270728,8336967,2.39
149,Guinea-Bissau,0,2105566,0,2015828,1788919,1567220,1230849,0
164,Guyana,812547,808726,792481,797202,755031,747932,759051,0.63
82,Haiti,11695803,11584996,11623799,11306801,10563757,9842880,8360225,1.21
89,Honduras,10559690,10432860,10156097,10121763,9294505,8450933,6656725,1.54
104,Hong_Kong,7490322,7488865,7585785,7500958,7399838,7132438,6731195,0.04
94,Hungary,10192921,9967308,9618215,9750573,9844246,9986825,10202055,1.9
179,Iceland,374674,372899,344646,366669,331060,318333,281462,0.65
2,India,1425935059,1417173173,1401310563,1396387127,1322866505,1240613620,1059633675,0.81
4,Indonesia,277066263,275501339,278037263,271857970,259091970,244016173,214072421,0.74
17,Iran,89038909,88550570,85627052,87290193,81790841,75373855,65544383,0.7
35,Iraq,45297338,44496122,41750703,42556984,37757813,31264875,24628858,2.27
125,Ireland,5049856,5023109,5008554,4946119,4665760,4524585,3768950,0.67
202,Isle_of_Man,0,84519,0,84046,83593,83828,75562,0
98,Israel,9146847,9038309,8868656,8757489,8007778,7328445,6116958,1.51
25,Italy,58905514,59037474,60320493,59500579,60232906,59822450,56966397,-0.28
52,Ivory_Coast,28725018,28160542,27451054,26811790,23596741,21120042,16799670,2.53
139,Jamaica,2825544,2827377,2980575,2820436,2794445,2733896,2612205,-0.06
11,Japan,123429015,123951692,125802521,125244761,127250933,128105431,126803861,-0.53
195,Jersey,0,110778,0,108319,100561,96151,86192,0
83,Jordan,11328042,11285869,10322902,10928721,9494246,6931258,5056174,0.45
66,Kazakhstan,19563515,19397998,19123199,18979243,17835909,16627837,15236253,1.08
27,Kenya,54877918,54027487,55703607,51985780,46851488,41517895,30851606,1.99
192,Kiribati,132871,131232,122470,126463,116707,107995,88826,1.74
129,Kuwait,4301742,4268873,4366698,4360444,3908743,2943356,1934901,0.97
110,Kyrgyzstan,6714110,6630623,6689349,6424874,5914980,5483774,4935182,1.58
103,Laos,7612542,7529475,7439920,7319399,6787419,6323418,5430853,1.39
151,Latvia,1834072,1850651,1855735,1897052,1991955,2101530,2392530,-1.1
119,Lebanon,5382890,5489739,6752766,5662923,6398940,4995800,4320642,-2.47
147,Lesotho,2325170,2305825,2169209,2254100,2118521,2022747,1998630,1.06
121,Liberia,5394566,5302681,5252834,5087584,4612329,4019956,2895224,2.18
107,Libya,6872943,6812341,7007887,6653942,6192235,6491988,5154790,1.12
216,Liechtenstein,39584,39327,38250,38756,37355,35926,33026,0.65
141,Lithuania,2723500,2750055,2670680,2820267,2963765,3139019,3599637,-1.15
168,Luxembourg,653481,647599,640202,630399,569408,507070,435628,1.11
167,Macau,702218,695168,663998,676283,615239,557297,431896,1.29
50,Madagascar,30177716,29611714,28860961,28225177,24850912,21731053,16216431,2.41
62,Malawi,20822991,20405317,19953296,19377061,16938942,14718422,11229387,2.58
45,Malaysia,34233873,33938221,33015425,33199993,31068833,28717731,22945150,1.09
174,Maldives,521665,523787,546203,514438,435582,361575,282507,-0.53
59,Mali,23148900,22593590,21212426,21224040,18112907,15529181,11239101,3.1
173,Malta,534420,533286,443646,515357,456579,418755,399212,0.33
215,Marshall_Islands,41996,41569,59610,43413,49410,53416,54224,1.03
180,Martinique,366981,367507,374314,370391,383515,392181,432543,-0.14
126,Mauritania,4836604,4736139,4848828,4498604,3946220,3419461,2695003,2.68
157,Mauritius,1300557,1299469,1274295,1297828,1293153,1283330,1215930,0.08
182,Mayotte,334064,326101,283394,305587,249545,211786,159215,3.03
10,Mexico,128263146,127504125,131046075,125998302,120149897,112532401,97873442,0.75
194,Micronesia,115224,114164,116901,112106,109462,107588,111709,0.93
135,Moldova,3461029,3272996,4017984,3084847,3277388,3678186,4251573,4.98
217,Monaco,36297,36469,39511,36922,36760,33178,32465,-0.47
134,Mongolia,3437504,3398366,3359247,3294335,2964749,2702520,2450979,1.44
169,Montenegro,626485,627082,628053,629048,633966,631044,633324,-0.1
230,Montserrat,4386,4390,4977,4500,5059,4938,5138,-0.09
40,Morocco,37762818,37457971,37599544,36688772,34680458,32464865,28554415,1.02
48,Mozambique,33703003,32969517,32696683,31178239,26843246,23073723,17768505,2.81
26,Myanmar,54497554,54179306,55037700,53423198,51483949,49390988,45538332,0.74
145,Namibia,2596449,2567012,2614500,2489098,2282704,2099271,1819141,1.45
225,Nauru,12780,12668,10876,12315,11185,10241,10377,0.88
49,Nepal,30825800,30547580,29960704,29348627,27610325,27161567,24559500,1.14
71,Netherlands,17607359,17564014,17195298,17434557,17041107,16617116,15899135,0.31
185,New_Caledonia,292347,289950,289727,286403,283032,261426,221537,1.05
123,New_Zealand,5219734,5185288,4883704,5061133,4590590,4346338,3855266,0.83
106,Nicaragua,7026360,6948392,6748507,6755895,6298598,5855734,5123222,1.41
54,Niger,26996264,26207977,25677816,24333639,20128124,16647543,11622665,3.8
6,Nigeria,222723472,218541212,214507696,208327405,183995785,160952853,122851984,2.41
232,Niue,1935,1934,1619,1942,1847,1812,2074,0.05
56,North_Korea,26142802,26069416,25950189,25867467,25258015,24686435,23367059,0.35
150,North_Macedonia,2086966,2093599,2082011,2111072,2107962,2093828,2037936,-0.38
